cmtename,cmteid,other_id,name,similarity,party,state,chamber,type,last,cycle
RYAN FOR CONGRESS,C00330894,C00503110,Scott Peters,0.2659533,D,Calif.,House,,"Peters, S",2014
RYAN FOR CONGRESS,C00330894,C00477323,Steven Palazzo,0.265648695,R,Miss.,House,,Palazzo,2014
RYAN FOR CONGRESS,C00330894,C00468959,Steve Southerland,0.265288334,R,Fla.,House,,Southerland,2014
RYAN FOR CONGRESS,C00330894,C00272211,Pete King,0.265229828,R,N.Y.,House,,King,2014
RYAN FOR CONGRESS,C00330894,C00470757,Scott Tipton,0.265164936,R,Colo.,House,,Tipton,2014
RYAN FOR CONGRESS,C00330894,C00413179,Peter Welch,0.264795696,D,Vt.,House,,Welch,2014
RYAN FOR CONGRESS,C00330894,C00395848,Emmauel Cleaver,0.261339451,D,Mo.,House,,Cleaver,2014
RYAN FOR CONGRESS,C00330894,C00512426,Sean Patrick Maloney,0.2608513,D,N.Y.,House,,"Maloney, S",2014
RYAN FOR CONGRESS,C00330894,C00271312,Nydia Velazquez,0.260282242,D,N.Y.,House,,Velazquez,2014
RYAN FOR CONGRESS,C00330894,C00418293,Hank Johnson,0.260180964,D,Ga.,House,,"Johnson, H",2014
RYAN FOR CONGRESS,C00330894,C00373001,Mike Turner,0.25940724,R,Ohio,House,,Turner,2014
RYAN FOR CONGRESS,C00330894,C00261958,Jack Kingston,0.256495939,R,Ga.,House,,Kingston,2014
RYAN FOR CONGRESS,C00330894,C00502229,Randy Weber,0.255758178,R,Texas,House,HFC,Weber,2014
RYAN FOR CONGRESS,C00330894,C00395467,Jeff Fortenberry,0.255743149,R,Neb.,House,,Fortenberry,2014
RYAN FOR CONGRESS,C00330894,C00451807,Bill Cassidy,0.255342211,R,La.,House,,Cassidy,2014
RYAN FOR CONGRESS,C00330894,C00499392,David Valadao,0.254385321,R,Calif.,House,,Valadao,2014
RYAN FOR CONGRESS,C00330894,C00495630,Matt Salmon,0.253630167,R,Ariz.,House,HFC,Salmon,2014
RYAN FOR CONGRESS,C00330894,C00539866,Robin Kelly,0.252905996,D,Ill.,House,,"Kelly, R",2014
